Iteration,ACS_time,ACS_dist,Elitist_time,Elitist_dist,MaxMin_time,MaxMin_dist
1,0.043770551681518555,2638.5414775574677,0.018287181854248047,2638.541477557468,0.014762639999389648,2638.541477557468
1,0.014710664749145508,2472.5397803295436,0.014816522598266602,2472.539780329543,0.015027046203613281,2472.539780329543
1,0.01609945297241211,2114.4589126401306,0.016033411026000977,2105.593560773311,0.01568746566772461,2114.4589126401306
1,0.015900135040283203,1984.2374595968224,0.016124248504638672,1984.2374595968224,0.01604318618774414,1984.2374595968224
1,0.016144275665283203,2350.1352146087143,0.01632857322692871,2336.8096386372476,0.015955686569213867,2336.8096386372476
1,0.01663064956665039,1978.6292697087201,0.016693592071533203,1978.6292697087201,0.016086339950561523,1978.62926970872
1,0.016675472259521484,2423.043757063287,0.016949892044067383,2423.043757063287,0.016538381576538086,2419.460369167897
1,0.01701068878173828,2454.504417064249,0.016847610473632812,2454.504417064249,0.01671290397644043,2454.504417064249
1,0.01669001579284668,2650.640043361521,0.016562461853027344,2650.640043361521,0.016436100006103516,2650.640043361521
1,0.02416253089904785,2382.7031258930692,0.017567873001098633,2382.7031258930692,0.017089128494262695,2382.7031258930692
1,0.01698923110961914,2098.0763860557227,0.01715826988220215,2098.0763860557227,0.0167999267578125,2098.076386055722
1,0.017064571380615234,1931.5994151368855,0.016845703125,1931.5994151368852,0.0165863037109375,1931.599415136885
1,0.01718759536743164,3007.066014316662,0.017239809036254883,3007.066014316662,0.016781091690063477,3007.066014316662
1,0.01727771759033203,2460.060759886101,0.016776084899902344,2550.546926281062,0.01661849021911621,2460.060759886101
1,0.01678180694580078,1933.5653640945154,0.016978025436401367,1933.5653640945156,0.016618967056274414,1933.5653640945156
1,0.016903162002563477,2353.0142451023307,0.016799449920654297,2353.0142451023307,0.016680002212524414,2353.0142451023307
1,0.01648879051208496,2066.417799371559,0.016667842864990234,2066.417799371559,0.016482114791870117,2066.417799371559
1,0.017087936401367188,2478.0712617506665,0.016851186752319336,2478.0712617506665,0.01650714874267578,2478.071261750666
1,0.016413211822509766,2534.1739558625572,0.01682567596435547,2534.1739558625577,0.016332626342773438,2534.1739558625577
1,0.01726245880126953,2575.740195367258,0.0169827938079834,2575.7401953672575,0.016825437545776367,2575.7401953672575
2,0.06237483024597168,2534.5063636014374,0.06191205978393555,2572.617513496811,0.06167435646057129,2452.1549559143173
2,0.06300115585327148,2825.453591406844,0.06378793716430664,2967.652342364037,0.06341218948364258,2717.3858666141527
2,0.06362318992614746,3475.6128908538494,0.0627450942993164,3637.831708104425,0.0637357234954834,3310.625662359195
